2026-02-05T19:13:53.994755+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/echelon/AYL-00005.bin
2026-02-05T19:16:42.366438+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/echelon/AYL-00007.bin
2026-02-05T19:19:54.338290+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/echelon/AYL-00001.bin
2026-02-05T19:25:03.382279+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/pullapart/AYL-00004.bin
2026-02-05T19:27:51.751701+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/pullapart/AYL-00002.bin
2026-02-05T19:31:03.675969+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/pullapart/AYL-00008.bin
2026-02-05T19:34:15.657129+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/pullapart/AYL-00009.bin
2026-02-05T19:35:43.791965+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/pullapart/AYL-00003.bin
2026-02-05T19:38:55.732999+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/pullapart/AYL-00000.bin
2026-02-05T19:41:44.054575+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/pullapart/AYL-00006.bin
2026-02-05T19:44:32.420821+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/pullapart/AYL-00005.bin
2026-02-05T19:47:20.794412+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/pullapart/AYL-00007.bin
2026-02-05T19:48:48.939170+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/pullapart/AYL-00001.bin
2026-02-05T19:50:04.899942+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapes/AYL-00004.bin
2026-02-05T19:51:32.956687+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapes/AYL-00002.bin
2026-02-05T19:54:44.945132+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapes/AYL-00008.bin
2026-02-05T19:57:56.851021+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapes/AYL-00009.bin
2026-02-05T20:03:05.832741+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapes/AYL-00003.bin
2026-02-05T20:05:54.163291+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapes/AYL-00000.bin
2026-02-05T20:08:42.482277+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapes/AYL-00006.bin
2026-02-05T20:11:30.844000+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapes/AYL-00005.bin
2026-02-05T20:16:39.895312+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapes/AYL-00007.bin
2026-02-05T20:19:51.839220+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/yshapes/AYL-00001.bin
2026-02-05T20:22:40.164198+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/flowers/AYL-00004.bin
2026-02-05T20:25:52.106426+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/flowers/AYL-00002.bin
2026-02-05T20:28:40.462530+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/flowers/AYL-00008.bin
2026-02-05T20:34:27.655976+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/flowers/AYL-00009.bin
2026-02-05T20:35:55.773296+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/flowers/AYL-00003.bin
2026-02-05T20:38:44.120890+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/flowers/AYL-00000.bin
2026-02-05T20:41:32.465039+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/flowers/AYL-00006.bin
2026-02-05T20:46:41.458936+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/flowers/AYL-00005.bin
